timestamp,city,video_index,car,bus,truck,total
1760006909,Colorado,1,0,0,0,0
1760006909,Roswell,3,1,0,0,1
1760006912,Roswell,3,1,0,0,1
1760006912,Colorado,1,0,0,0,0
1760006916,Tokyo,0,1,1,0,2
1760006917,New York,2,4,1,0,5
1760006928,New York,2,4,3,0,7
1760006929,Tokyo,0,1,1,0,2
1760006937,Colorado,1,0,0,0,0
1760006943,Roswell,3,1,0,0,1
1760006947,Roswell,3,1,0,0,1
1760006951,Colorado,1,0,0,0,0
1760006959,Tokyo,0,0,2,0,2
1760006962,New York,2,5,2,0,7
1760109779,Tokyo,0,4,0,0,4
1760109780,Colorado,1,16,0,1,16
1760109784,New York,2,3,2,1,7
1760109787,Roswell,3,5,0,0,6
1760109790,Tokyo,0,1,0,0,1
1760109790,Colorado,1,16,0,0,16
1760109796,New York,2,4,2,1,7
1760109800,Roswell,3,6,0,0,6
1760109800,Tokyo,0,5,0,0,5
1760109801,Colorado,1,14,0,0,14
1760109807,New York,2,5,2,1,8
1760109812,Roswell,3,4,0,0,4
1760109812,Tokyo,0,12,0,0,13
1760109814,Colorado,1,14,0,1,15
1760109820,Tokyo,0,7,0,0,7
1760109823,Colorado,1,14,0,0,14
1760109824,New York,2,4,1,1,7
1760109825,New York,2,5,2,1,8
1760109826,Roswell,3,2,0,0,2
1760109828,Roswell,3,3,0,0,3
1760109829,Tokyo,0,8,0,0,8
1760109830,Tokyo,0,11,0,0,11
1760109831,Colorado,1,14,0,2,16
1760109833,Colorado,1,13,0,1,14
1760109836,New York,2,5,3,2,10
1760109838,Roswell,3,2,0,0,2
1760109841,Tokyo,0,9,0,0,9
1760109842,New York,2,3,1,2,6
1760109843,Colorado,1,8,0,1,9
1760109844,Roswell,3,2,0,0,2
1760109846,Tokyo,0,4,0,0,4
1760109848,Roswell,3,2,0,0,2
1760109849,Colorado,1,14,0,0,14
1760109855,New York,2,3,1,1,5
1760109861,Tokyo,0,5,0,0,5
1760109861,New York,2,4,2,0,6
1760109863,Roswell,3,3,0,0,3
1760109863,Colorado,1,14,0,0,14
1760109865,Tokyo,0,1,0,0,1
1760109867,Colorado,1,14,0,0,14
1760109868,Roswell,3,4,0,0,4
1760109871,Tokyo,0,2,0,0,2
1760109874,Colorado,1,13,0,0,13
1760109881,Tokyo,0,3,0,0,3
1760109887,New York,2,4,2,0,6
1760109891,Colorado,1,11,0,0,11
1760109899,Roswell,3,2,0,2,4
1760109901,New York,2,3,3,0,6
1760109912,Tokyo,0,2,0,0,2
1760109912,Roswell,3,4,0,0,5
1760109924,Tokyo,0,2,0,0,2
1760109926,Colorado,1,11,0,0,11
1760109937,Colorado,1,12,0,0,12
1760109940,New York,2,4,4,0,8
1760109947,New York,2,1,4,0,5
1760109951,Roswell,3,3,0,0,3
1760109958,Roswell,3,2,0,0,2
1760109966,Tokyo,0,0,0,0,0
1760109976,Tokyo,0,12,0,0,12
1760109992,Colorado,1,6,0,1,7
1760109995,Colorado,1,8,0,0,8
1760110008,New York,2,3,1,1,5
1760110009,New York,2,4,3,0,7
1760110027,Roswell,3,6,0,0,6
1760110029,Roswell,3,4,0,1,5
1760110048,Tokyo,0,5,0,0,5
1760110052,Tokyo,0,5,0,0,5
1760110067,Colorado,1,5,0,0,5
1760110077,Colorado,1,7,0,0,7
1760110088,New York,2,2,2,0,4
1760110099,New York,2,2,2,0,4
1760110104,Roswell,3,2,0,0,2
1760110115,Roswell,3,2,0,0,2
1760110117,Tokyo,0,14,0,0,14
1760110132,Colorado,1,3,0,0,3
1760110135,Tokyo,0,14,0,0,14
1760110144,New York,2,2,1,0,3
1760110151,Colorado,1,8,0,0,8
1760110165,Roswell,3,0,0,0,0
1760110180,New York,2,2,1,0,3
1760110183,Tokyo,0,2,0,1,3
1760179634,Tokyo,0,4,0,0,4
1760179639,Colorado,1,0,0,0,0
1760179649,New York,2,2,0,1,3
1760179650,Tokyo,0,4,0,0,4
1760179651,Roswell,3,0,0,0,0
1760179653,Colorado,1,0,0,0,0
1760179660,New York,2,1,0,0,2
1760179665,Tokyo,0,3,0,0,3
1760179669,Roswell,3,2,0,0,2
1760179670,Colorado,1,0,0,0,0
1760179673,New York,2,0,0,0,0
1760179677,Tokyo,0,13,1,0,14
1760179689,Roswell,3,1,0,0,1
1760179708,Tokyo,0,9,0,1,10
1760179710,Colorado,1,0,0,0,0
1760179726,New York,2,1,1,0,2
1760179728,New York,2,0,1,0,1
1760179741,Roswell,3,0,0,0,0
1760179741,Tokyo,0,14,1,0,15
1760179754,Colorado,1,0,0,0,0
1760179758,Roswell,3,2,0,0,2
1760179769,Tokyo,0,6,2,0,8
1760179774,Colorado,1,0,0,0,0
1760179788,New York,2,1,0,0,1
1760179792,New York,2,1,1,0,2
1760179805,Roswell,3,0,0,0,0
1760179810,Tokyo,0,3,0,0,3
1760179818,Colorado,1,0,0,0,0
1760179828,Roswell,3,0,0,0,0
1760179836,Tokyo,0,5,0,0,5
1760179845,Colorado,1,0,0,0,0
1760179854,New York,2,3,0,0,3
1760179860,New York,2,1,0,1,2
1760179869,Roswell,3,0,0,0,0
1760179876,Tokyo,0,7,0,0,7
1760179882,Colorado,1,0,0,0,0
1760179895,Roswell,3,0,0,0,0
1760179900,Tokyo,0,10,1,0,11
1760179914,Colorado,1,0,0,0,0
1760179918,New York,2,0,0,0,0
1760179926,New York,2,3,1,0,4
1760179933,Roswell,3,0,0,0,0
1760179943,Tokyo,0,3,0,0,3
1760179947,Colorado,1,0,0,0,0
1760179961,Roswell,3,2,0,0,2
1760179965,Tokyo,0,1,0,0,1
1760179979,Colorado,1,0,0,0,0
1760179983,New York,2,0,0,0,0
1760179992,New York,2,0,0,0,0
1760179999,Roswell,3,1,0,0,1
1760180010,Tokyo,0,5,0,0,5
1760180012,Colorado,1,0,0,0,0
1760180027,Roswell,3,1,0,0,1
1760180028,Tokyo,0,10,0,0,10
1760193186,Tokyo,0,1,0,0,1
1760193193,Colorado,1,2,1,0,3
1760193199,New York,2,0,1,1,2
1760193202,Tokyo,0,2,0,0,2
1760193205,Roswell,3,8,0,0,8
1760193210,Colorado,1,2,0,1,3
1760193214,New York,2,3,0,0,3
1760193216,Tokyo,0,3,0,0,3
1760193218,Roswell,3,9,0,0,9
1760193224,Colorado,1,6,0,0,6
1760193226,New York,2,4,2,0,6
