timestamp,city,video_index,car,bus,truck,total
1759754252,Tokyo,0,1,0,0,1
1759754256,Colorado,1,8,0,0,8
1759754260,New York,2,0,2,1,3
1759754263,Roswell,3,0,0,0,0
1759754266,Tokyo,0,4,0,1,5
1759754269,Colorado,1,6,0,1,7
1759754272,New York,2,2,3,0,5
1759754274,Roswell,3,3,0,0,3
1759754284,Tokyo,0,4,0,0,4
1759754288,Colorado,1,3,0,2,5
1759754292,New York,2,2,2,2,5
1759754294,Roswell,3,6,0,0,6
1759754304,Tokyo,0,13,0,0,13
1759754307,Tokyo,0,16,0,0,16
1759754308,Colorado,1,2,0,0,2
1759754312,New York,2,3,1,0,4
1759754312,New York,2,2,4,0,6
1759754316,Roswell,3,6,0,1,7
1759754316,Roswell,3,3,0,0,3
1759754319,Tokyo,0,9,0,0,9
1759754320,Colorado,1,4,0,1,5
1759754322,Colorado,1,3,0,1,4
1759754324,Tokyo,0,13,0,0,13
1759754327,New York,2,2,2,0,4
1759754329,New York,2,4,3,0,7
1759754330,Roswell,3,1,0,0,1
1759754332,Roswell,3,2,0,0,2
1759754333,Tokyo,0,9,0,0,9
1759754335,Colorado,1,2,0,0,2
1759754336,Colorado,1,4,0,1,5
1759754339,Tokyo,0,10,0,0,10
1759754339,New York,2,0,2,0,2
1759754342,New York,2,0,2,0,2
1759754342,Roswell,3,2,0,0,2
1759754345,Tokyo,0,8,0,0,8
1759754345,Roswell,3,2,0,0,2
1759754348,Colorado,1,3,0,0,3
1759754349,Colorado,1,4,0,1,5
1759754352,New York,2,0,2,0,2
1759754353,Tokyo,0,6,0,0,6
1759754362,Roswell,3,1,0,0,1
1759754371,New York,2,1,3,0,4
1759754381,Tokyo,0,2,0,0,2
1759754388,Roswell,3,1,0,0,1
1759754393,Colorado,1,2,0,1,3
1759754408,Colorado,1,1,0,0,1
1759754408,New York,2,4,2,0,6
1759754412,Tokyo,0,6,0,0,6
1759754412,Roswell,3,2,0,0,2
1759754423,New York,2,2,3,0,5
1759754425,Tokyo,0,3,0,0,3
1759754440,Roswell,3,2,0,0,2
1759754440,Colorado,1,6,0,0,6
1759754456,Colorado,1,6,0,0,6
1759754456,New York,2,6,1,0,7
1759754469,Roswell,3,3,0,0,3
1759754473,Tokyo,0,4,0,0,4
1759754491,Tokyo,0,0,0,0,0
1759754500,New York,2,1,2,0,3
1759754508,Colorado,1,7,0,1,8
1759754513,Roswell,3,4,0,0,4
1759754518,New York,2,2,4,0,6
1759754521,Colorado,1,4,0,1,5
1759754522,Roswell,3,1,0,0,1
1759754525,Tokyo,0,13,0,0,13
1759754525,Tokyo,0,11,0,0,11
1759754528,New York,2,5,2,0,7
1759754528,Colorado,1,8,0,0,8
1759754531,New York,2,0,3,0,3
1759754531,Roswell,3,1,0,0,1
1759754534,Roswell,3,1,0,0,1
1759754534,Colorado,1,9,0,0,9
1759754537,Tokyo,0,6,0,0,6
1759754537,Tokyo,0,5,0,0,5
1759754540,Colorado,1,10,0,0,10
1759754540,New York,2,0,1,1,2
1759754542,New York,2,1,2,0,3
1759754544,Roswell,3,1,0,0,1
1759754545,Roswell,3,1,0,0,1
1759754547,Colorado,1,9,1,0,10
1759754549,Tokyo,0,5,0,0,5
1759754550,Tokyo,0,5,0,0,5
1759754551,Colorado,1,5,0,1,6
1759754554,New York,2,4,1,0,5
1759754555,New York,2,3,2,0,5
1759754557,Roswell,3,3,0,0,3
1759754558,Roswell,3,3,0,0,3
1759754560,Colorado,1,4,0,0,4
1759754561,Tokyo,0,4,0,0,4
1759754564,Tokyo,0,5,0,0,5
1759754564,Colorado,1,5,0,2,7
1759754567,New York,2,3,4,0,7
1759754567,New York,2,4,4,1,9
1759754571,Roswell,3,2,0,0,2
1759754571,Roswell,3,2,0,0,2
1759754574,Colorado,1,3,1,0,4
1759754574,Tokyo,0,9,0,0,9
1759754577,Colorado,1,7,0,0,7
1759754578,Tokyo,0,4,0,0,4
1759754585,New York,2,4,1,0,5
1759754588,New York,2,5,2,1,8
1759754601,Roswell,3,1,1,0,2
1759754606,Roswell,3,0,0,0,0
1759754614,Tokyo,0,2,0,0,2
1759754615,Colorado,1,3,0,0,3
1759754624,Colorado,1,3,0,0,3
1759754629,Tokyo,0,11,0,0,11
1759754639,New York,2,1,3,1,5
1759754642,New York,2,0,5,0,5
1759754644,Roswell,3,1,0,0,1
1759754647,Roswell,3,1,0,0,1
1759754650,Tokyo,0,8,0,1,9
1759754653,Colorado,1,1,0,1,2
1759754655,Colorado,1,1,0,0,1
1759754658,Tokyo,0,2,0,0,2
1759754659,New York,2,2,2,1,5
1759754661,New York,2,4,1,0,5
1759754662,Roswell,3,2,0,0,2
1759754665,Tokyo,0,1,0,0,1
1759754665,Roswell,3,1,0,0,1
1759754668,Colorado,1,3,0,1,4
1759754668,Colorado,1,3,0,1,4
1759754671,New York,2,4,2,1,7
1759754672,Tokyo,0,2,0,0,2
1759754674,Roswell,3,2,0,0,2
1759754676,New York,2,2,2,2,6
1759754679,Tokyo,0,3,0,0,3
1759754680,Roswell,3,3,0,0,3
1759754682,Colorado,1,4,1,0,5
1759754684,Colorado,1,3,1,0,4
1759754685,New York,2,2,2,0,4
1759754688,Tokyo,0,4,0,0,4
1759754688,Roswell,3,4,0,0,4
1759754692,New York,2,0,2,0,2
1759754692,Tokyo,0,6,0,0,6
1759754695,Colorado,1,6,0,0,6
1759754696,Roswell,3,3,0,0,3
1759754698,New York,2,1,3,0,4
1759754699,Colorado,1,4,0,0,4
1759754701,Roswell,3,3,0,0,3
1759754702,Tokyo,0,5,0,0,5
1759754704,Tokyo,0,2,0,0,2
1759754705,New York,2,1,1,0,2
1759754707,Colorado,1,7,0,0,7
1759754708,Roswell,3,3,0,0,3
1759754710,New York,2,1,2,1,4
1759754712,Colorado,1,10,0,0,10
1759754713,Roswell,3,3,0,0,3
1759754715,Tokyo,0,3,0,0,3
1759754716,Tokyo,0,1,0,0,1
1759754718,New York,2,0,1,1,2
1759754719,Colorado,1,3,0,0,3
1759754721,Roswell,3,1,0,0,1
1759754721,New York,2,2,1,1,4
1759754724,Roswell,3,0,0,0,0
1759754724,Colorado,1,8,1,0,9
1759754727,Tokyo,0,6,0,0,6
1759754728,Tokyo,0,3,0,1,4
1759754730,Colorado,1,6,0,0,6
1759754731,New York,2,1,1,0,2
1759754733,New York,2,1,2,1,4
1759754734,Roswell,3,1,0,0,1
1759754736,Roswell,3,2,0,0,2
1759754737,Colorado,1,3,0,0,3
1759754739,Tokyo,0,6,0,0,6
1759754740,Tokyo,0,8,0,0,8
1759754742,Colorado,1,3,1,0,4
1759754744,New York,2,3,1,0,4
1759754745,New York,2,6,2,1,9
1759754747,Roswell,3,0,0,0,0
1759754748,Roswell,3,0,0,0,0
1759754751,Colorado,1,6,1,0,7
1759754751,Tokyo,0,7,0,0,7
1759754754,Colorado,1,3,0,0,3
1759754755,Tokyo,0,6,0,0,6
1759754758,New York,2,8,2,0,10
1759754758,New York,2,8,2,0,10
1759754762,Roswell,3,3,0,0,3
1759754762,Roswell,3,2,0,0,2
1759754765,Tokyo,0,4,0,0,4
1759754766,Colorado,1,0,0,0,0
1759754768,Colorado,1,1,0,0,1
1759754769,Tokyo,0,4,0,0,4
1759754772,New York,2,6,2,0,8
1759754773,New York,2,8,2,1,11
1759754775,Roswell,3,2,0,0,2
1759754776,Roswell,3,3,0,0,3
1759754778,Tokyo,0,3,0,0,3
1759754780,Colorado,1,2,0,0,2
1759754781,Colorado,1,2,0,0,2
1759754784,Tokyo,0,1,0,0,1
1759754784,New York,2,4,2,0,6
1759754787,New York,2,4,2,0,6
1759754787,Roswell,3,2,0,0,2
1759754791,Tokyo,0,1,0,0,1
1759754791,Roswell,3,3,0,0,3
1759754793,Colorado,1,5,0,0,5
1759754794,Colorado,1,5,0,0,5
1759754796,New York,2,0,2,1,3
1759754797,Tokyo,0,2,0,0,2
1759754799,Roswell,3,3,0,0,3
1759754800,New York,2,0,2,1,3
1759754802,Tokyo,0,2,0,0,2
1759754804,Roswell,3,2,0,0,2
1759754806,Colorado,1,0,0,0,0
1759754807,Colorado,1,0,0,0,0
1759754809,New York,2,1,2,0,3
1759754810,Tokyo,0,1,0,0,1
1759754812,Roswell,3,3,0,0,3
1759754813,New York,2,0,2,0,2
1759754814,Tokyo,0,1,0,0,1
1759754817,Roswell,3,3,0,0,3
1759754817,Colorado,1,1,0,0,1
1759754820,Colorado,1,0,0,0,0
1759754820,New York,2,2,1,0,3
1759754823,Tokyo,0,0,0,0,0
1759754823,Roswell,3,4,0,0,4
1759754826,New York,2,2,2,0,4
1759754826,Tokyo,0,0,0,0,0
1759754829,Roswell,3,3,0,0,3
1759754829,Colorado,1,2,0,1,3
1759754832,Colorado,1,6,0,0,6
1759754832,New York,2,5,4,0,9
1759754835,Roswell,3,1,0,0,1
1759754835,Tokyo,0,1,0,0,1
1759754838,Tokyo,0,0,0,0,0
1759754839,New York,2,2,1,0,3
1759754841,Colorado,1,9,0,0,9
1759754842,Roswell,3,3,0,0,3
1759754844,New York,2,3,1,0,4
1759754845,Colorado,1,6,0,0,6
1759754846,Roswell,3,3,0,0,3
1759754848,Tokyo,0,4,0,0,4
1759754849,Tokyo,0,2,0,0,2
1759754851,New York,2,3,3,0,6
1759754852,Colorado,1,8,1,0,9
1759754854,Roswell,3,2,0,0,2
1759754855,New York,2,2,2,0,4
1759754857,Colorado,1,5,0,2,7
1759754858,Roswell,3,2,0,0,2
1759754860,Tokyo,0,1,0,0,1
1759754861,Tokyo,0,1,0,0,1
1759754864,Colorado,1,6,0,0,6
1759754864,New York,2,3,3,0,6
1759754867,New York,2,1,4,0,5
1759754867,Roswell,3,2,0,0,2
1759754870,Roswell,3,1,0,1,2
1759754871,Colorado,1,7,0,1,8
1759754873,Tokyo,0,15,0,0,15
1759754874,Tokyo,0,14,0,0,14
1759754877,Colorado,1,2,0,0,2
1759754878,New York,2,3,4,1,8
1759754880,New York,2,1,3,0,4
1759754881,Roswell,3,2,0,0,2
1759754882,Roswell,3,1,0,0,1
1759754884,Colorado,1,1,0,0,1
1759754885,Tokyo,0,13,0,0,13
1759754887,Tokyo,0,16,0,0,16
1759754888,Colorado,1,5,0,0,5
1759754890,New York,2,0,3,0,3
1759754891,New York,2,0,3,1,4
1759754894,Roswell,3,1,0,0,1
1759754894,Roswell,3,1,0,0,1
1759754897,Colorado,1,5,0,0,5
1759754897,Tokyo,0,10,0,0,10
1759754900,Colorado,1,3,0,2,5
1759754900,Tokyo,0,10,0,0,10
1759754903,New York,2,1,3,1,5
1759754903,New York,2,0,2,1,3
1759754905,Roswell,3,1,0,0,1
1759754906,Roswell,3,1,0,0,1
1759754909,Tokyo,0,2,0,0,2
1759754909,Colorado,1,2,0,0,2
1759754911,Colorado,1,2,0,1,3
1759754912,Tokyo,0,3,0,0,3
1759754915,New York,2,2,3,0,5
1759754915,New York,2,2,2,0,4
1759754918,Roswell,3,2,0,0,2
1759754919,Roswell,3,1,0,1,2
1759754922,Tokyo,0,8,0,0,8
1759754925,Colorado,1,0,0,0,0
1759754926,Colorado,1,1,0,0,1
1759754931,Tokyo,0,5,0,0,5
1759754932,New York,2,1,2,1,4
1759754936,New York,2,2,2,2,6
1759754936,Roswell,3,1,0,0,1
